topics,domain_normalized,domain
"245,103",agrarheute com,agrarheute.com
"103,243",agrarszektor hu,agrarszektor.hu
245,agrigentonotizie it,agrigentonotizie.it
"103,561",agronews gr,agronews.gr
243,ahaber com tr,ahaber.com.tr
"350,243",ahaonline cz,ahaonline.cz
"1,243",ahdathnet com,ahdathnet.com
"325,299,243",ahlynews com,ahlynews.com
245,ahmednagarlive24 com,ahmednagarlive24.com
"299,325,243",aia figc it,aia-figc.it
243,aif ru,aif.ru
"247,239",aile gov tr,aile.gov.tr
"103,561,236",air cosmos com,air-cosmos.com
"245,23",airedesantafe com ar,airedesantafe.com.ar
"334,103,126,243",airporthaber com,airporthaber.com
"299,243",aiscore com,aiscore.com
"299,325,243",ajaxshowtime com,ajaxshowtime.com
"247,245",ajc com,ajc.com
"299,309,243",ak4tsay1 com,ak4tsay1.com
243,akharinkhabar ir,akharinkhabar.ir
243,akhbaar24 argaam com,akhbaar24.argaam.com
"363,243",akhbara24 news,akhbara24.news
"215,299,243,1",akhbarak net,akhbarak.net
243,akhbaralaan net,akhbaralaan.net
243,akhbarelyom com,akhbarelyom.com
243,akhbarona com,akhbarona.com
"126,243",akiba pc watch impress co jp,akiba-pc.watch.impress.co.jp
245,akipress org,akipress.org
243,akket com,akket.com
243,aksam com tr,aksam.com.tr
"245,243",aktuality sk,aktuality.sk
243,aktualne cz,aktualne.cz
245,aktuell meinestadt de,aktuell.meinestadt.de
243,al ain com,al-ain.com
243,al akhbar com,al-akhbar.com
245,al com,al.com
"243,1",al marsd com,al-marsd.com
243,al3omk com,al3omk.com
243,aladin info,aladin.info
"299,243",alairelibre cl,alairelibre.cl
"363,243",alarabiya net,alarabiya.net
243,alarmeringen nl,alarmeringen.nl
"1,243",alayam24 com,alayam24.com
"315,299,243",alba co jp,alba.co.jp
243,alba24 ro,alba24.ro
"303,299,243",albat com,albat.com
245,albawabhnews com,albawabhnews.com
243,albayan ae,albayan.ae
"325,299,243",albirex co jp,albirex.co.jp
243,alcalorpolitico com,alcalorpolitico.com
243,alchourouk com,alchourouk.com
243,alef ir,alef.ir
243,alfa lt,alfa.lt
"226,243",alfavita gr,alfavita.gr
"254,400",alfemminile com,alfemminile.com
243,algerie eco com,algerie-eco.com
245,algerie360 com,algerie360.com
243,alghad com,alghad.com
"299,325,243",alhawt news,alhawt.news
243,alhurra com,alhurra.com
243,alia ge,alia.ge
243,aljazeera com,aljazeera.com
"363,243",aljazeera net,aljazeera.net
245,alkhaleej services net,alkhaleej-services.net
243,alkhaleej365 co,alkhaleej365.co
243,allbanaadir org,allbanaadir.org
"299,325,23,243",allegegenpistor wdr2 de,allegegenpistor.wdr2.de
"317,299,243",allhockey ru,allhockey.ru
"31,23,350",allkpop com,allkpop.com
"88,400,99",allure com,allure.com
243,almalnews com,almalnews.com
"208,243",almanac com,almanac.com
243,almasryalyoum com,almasryalyoum.com
"245,363,243",almaty tv,almaty.tv
"363,243",almayadeen net,almayadeen.net
"299,325,243",almountakhab com,almountakhab.com
"173,209,126,243",almrsal com,almrsal.com
"528,607,126,243",almtechnews com,almtechnews.com
243,alnilin com,alnilin.com
"245,249,350",alo rs,alo.rs
243,alodokter com,alodokter.com
350,alphacute com,alphacute.com
243,alquds co uk,alquds.co.uk
"363,243",alsumaria tv,alsumaria.tv
243,altapress ru,altapress.ru
"126,140,243",alternativeto net,alternativeto.net
"245,243",altoadige it,altoadige.it
"363,12,350,1",alumno conalep edu mx,alumno.conalep.edu.mx
243,alwafd news,alwafd.news
245,alwakeelnews com,alwakeelnews.com
"247,245",alwatanvoice com,alwatanvoice.com
243,alyaoum24 com,alyaoum24.com
"245,243",am com mx,am.com.mx
"363,243",amarintv com,amarintv.com
"164,561",amarstock com,amarstock.com
"245,243",amarujala com,amarujala.com
"299,325,243",amazoniasports com,amazoniasports.com
"363,1,350",amba24 ar,amba24.ar
243,ambebi ge,ambebi.ge
243,ambito com,ambito.com
"239,243",ambitojuridico com,ambitojuridico.com
"350,23",americansongwriter com,americansongwriter.com
"254,400",amica it,amica.it
243,amindi ge,amindi.ge
243,amindi org,amindi.org
243,ammonnews net,ammonnews.net
243,ampparit com,ampparit.com
"126,243",amritadrino com,amritadrino.com
245,an no,an.no
243,analkhabar com,analkhabar.com
243,anandabazar com,anandabazar.com
"86,254,400",ananweb jp,ananweb.jp
243,andhrajyothy com,andhrajyothy.com
"215,140,126,243",andro4all com,andro4all.com
"126,243",android com pl,android.com.pl
"215,126,140,243",androidinsider ru,androidinsider.ru
"528,215,126,140,243",androidpolice com,androidpolice.com
247,animalpolitico com,animalpolitico.com
243,aniq uz,aniq.uz
"243,1",annahar com,annahar.com
243,ansa it,ansa.it
243,antaranews com,antaranews.com
"299,243",anten ir,anten.ir
