topics,domain_normalized,domain
"215,243,1",epochtimes com,epochtimes.com
"126,528,243",epost telenor no,epost.telenor.no
"245,215,1",epoznan pl,epoznan.pl
561,epravda com ua,epravda.com.ua
"201,299,243",equiresults com,equiresults.com
"164,561",equitymaster com,equitymaster.com
243,eramuslim com,eramuslim.com
"299,243",eredmenyek com,eredmenyek.com
"363,243,1",ereport sk,ereport.sk
400,eresmama com,eresmama.com
243,erpi pearson com,erpi.pearson.com
243,err ee,err.ee
243,ertnews gr,ertnews.gr
"299,325,243",es besoccer com,es.besoccer.com
"103,400,250",es calameo com,es.calameo.com
"126,243",es ccm net,es.ccm.net
"1,243",es euronews com,es.euronews.com
"471,350",es famousbirthdays com,es.famousbirthdays.com
"215,561,1",es finance yahoo com,es.finance.yahoo.com
"561,164",es investing com,es.investing.com
243,es kiosko net,es.kiosko.net
"610,299,243",es motorsport com,es.motorsport.com
"561,164,253",es tradingview com,es.tradingview.com
"325,299,243",es uefa com,es.uefa.com
561,es us finanzas yahoo com,es-us.finanzas.yahoo.com
243,es us noticias yahoo com,es-us.noticias.yahoo.com
"86,350,23",es us vida estilo yahoo com,es-us.vida-estilo.yahoo.com
243,es weatherspark com,es.weatherspark.com
"245,243",esaimaa fi,esaimaa.fi
243,esakal com,esakal.com
243,esdiario com,esdiario.com
"48,350,52",eservices minnstate edu,eservices.minnstate.edu
"227,243",esos gr,esos.gr
561,espanadiario tips,espanadiario.tips
350,espanadiariotv com,espanadiariotv.com
243,espanol cgtn com,espanol.cgtn.com
"215,243,1",espanol yahoo com,espanol.yahoo.com
243,especiais gazetadopovo com br,especiais.gazetadopovo.com.br
350,espectacular com ar,espectacular.com.ar
"299,363,243",espn cl,espn.cl
"363,299,243",espn co uk,espn.co.uk
"299,363,243",espn com,espn.com
"363,299,243",espn com ar,espn.com.ar
"363,299,243",espn com au,espn.com.au
"299,363,243",espn com br,espn.com.br
"363,299,243",espn com co,espn.com.co
"299,363,243",espn com do,espn.com.do
"299,363,243",espn com mx,espn.com.mx
"363,299,243",espn com pe,espn.com.pe
"363,299,243",espn com ve,espn.com.ve
"363,299,243",espn in,espn.in
"363,299,243",espn ph,espn.ph
"299,309,243",espncricinfo com,espncricinfo.com
"299,363,243",espndeportes espn com,espndeportes.espn.com
"299,243",esportenatv net,esportenatv.net
"299,243",esportes r7 com,esportes.r7.com
243,espreso co rs,espreso.co.rs
243,espreso tv,espreso.tv
243,espressonews gr,espressonews.gr
243,esquelas elcorreo com,esquelas.elcorreo.com
"245,243",esquelas eldiariomontanes es,esquelas.eldiariomontanes.es
"96,254,400",esquire com,esquire.com
"245,243",ess fi,ess.fi
"299,243",essentiallysports com,essentiallysports.com
"247,249,245,561,243",estadao com br,estadao.com.br
"299,325,243",estadiodeportivo com,estadiodeportivo.com
"352,239,243",estense com,estense.com
"245,243",estrepublicain fr,estrepublicain.fr
"247,239,254",etemadonline com,etemadonline.com
"328,299,243",etf tournamentsoftware com,etf.tournamentsoftware.com
243,ethnos gr,ethnos.gr
"243,1",ethraanet com,ethraanet.com
243,ethranet net,ethranet.net
561,etnet com hk,etnet.com.hk
350,etonline com,etonline.com
"299,325,243",etopaz az,etopaz.az
"245,247,243",ettoday net,ettoday.net
245,etvbharat com,etvbharat.com
243,eu usatoday com,eu.usatoday.com
"103,243",eurasiantimes com,eurasiantimes.com
561,euribor com es,euribor.com.es
"299,325,243",euro football ru,euro-football.ru
"245,243",euro2day gr,euro2day.gr
"299,325,243",eurofotbal cz,eurofotbal.cz
"431,126,243",eurogamer de,eurogamer.de
"126,431,243",eurogamer pl,eurogamer.pl
"431,126,243",eurogamer pt,eurogamer.pt
"299,304,243",eurohoops net,eurohoops.net
"250,243",eurointegration com ua,eurointegration.com.ua
"304,299,243",euroleague net,euroleague.net
"1,243",euronews com,euronews.com
243,europapress es,europapress.es
"247,239",europarl europa eu,europarl.europa.eu
"23,363,1,243",europe1 fr,europe1.fr
"299,315,243",europeantour com,europeantour.com
243,europost gr,europost.gr
"363,299,243",eurosport co uk,eurosport.co.uk
"363,299,243",eurosport com,eurosport.com
"299,363,243",eurosport de,eurosport.de
"299,363,243",eurosport es,eurosport.es
"363,299,243",eurosport fr,eurosport.fr
"299,363,243",eurosport it,eurosport.it
"299,363,243",eurosport ro,eurosport.ro
"299,243",eurosport ru,eurosport.ru
"299,243",eurosport tvn24 pl,eurosport.tvn24.pl
"86,254,350",eva ru,eva.ru
245,eveningnews24 co uk,eveningnews24.co.uk
243,evz ro,evz.ro
"350,400",ew com,ew.com
"245,243",ewn co za,ewn.co.za
"610,299,243",ewrc results com,ewrc-results.com
"299,609,243",ewrestlingnews com,ewrestlingnews.com
"249,250",ex 24smi info,ex.24smi.info
243,exame com,exame.com
245,examinerlive co uk,examinerlive.co.uk
243,excelsior com mx,excelsior.com.mx
"561,164",exchangerates org uk,exchangerates.org.uk
"350,243",exitoina perfil com,exitoina.perfil.com
561,expansion com,expansion.com
243,expansion mx,expansion.mx
243,expert bg,expert.bg
243,expert ru,expert.ru
"23,350,243",expres cz,expres.cz
"245,243",expreso com pe,expreso.com.pe
"350,243",express ba,express.ba
243,express co uk,express.co.uk
243,express com pk,express.com.pk
243,express de,express.de
243,express pk,express.pk
245,expressandstar com,expressandstar.com
243,expressbydgoski pl,expressbydgoski.pl
243,expressen se,expressen.se
"245,243",expressilustrowany pl,expressilustrowany.pl
"247,561,23,243",expresso pt,expresso.pt
243,extra cw,extra.cw
"243,350",extra cz,extra.cz
"363,238,1,243",extra globo com,extra.globo.com
243,extra ie,extra.ie
"12,350",extramovies skin,extramovies.skin
243,exxpress at,exxpress.at
243,f b no,f-b.no
"610,299,243",f1 gate com,f1-gate.com
"299,243",f1i autojournal fr,f1i.autojournal.fr
"610,299,243",f1news ru,f1news.ru
243,f5haber com,f5haber.com
243,f5mail rediff com,f5mail.rediff.com
243,f5mobile rediff com,f5mobile.rediff.com
243,f6mobile rediff com,f6mobile.rediff.com
"299,243",facilitobet com,facilitobet.com
350,factable com,factable.com
"304,299,243",fadeawayworld net,fadeawayworld.net
243,faitsdivers org,faitsdivers.org
243,fajar co id,fajar.co.id
243,fakt pl,fakt.pl
243,faktaidn com,faktaidn.com
243,fakti bg,fakti.bg
350,fakti online,fakti.online
243,faktor ba,faktor.ba
243,fakty com ua,fakty.com.ua
243,fakty ua,fakty.ua
"245,243",falukuriren se,falukuriren.se
"350,243",famazine com,famazine.com
"471,350",famousbirthdays com,famousbirthdays.com
"299,325,243",fanat1k ru,fanat1k.ru
"299,243",fanatik com tr,fanatik.com.tr
"299,243",fanatik ro,fanatik.ro
350,fanbrace com,fanbrace.com
"363,309,299,243,1",fancode com,fancode.com
"303,299,243",fangraphs com,fangraphs.com
243,fanipogody pl,fanipogody.pl
245,fanoticias com br,fanoticias.com.br
243,fanpage it,fanpage.it
"299,243",fansided com,fansided.com
"299,325,243",fantacalcio it,fantacalcio.it
"299,325,243",fapl ru,fapl.ru
243,fararu com,fararu.com
243,fardanews com,fardanews.com
561,fardayeeghtesad com,fardayeeghtesad.com
"1,243",farfeshplus online,farfeshplus.online
"245,243",farodevigo es,farodevigo.es
"400,1",faroutmagazine co uk,faroutmagazine.co.uk
243,farsnews ir,farsnews.ir
243,fartaknews com,fartaknews.com
"207,96,578,350",fashion ettoday net,fashion.ettoday.net
350,fashionbubbles com,fashionbubbles.com
350,fashionpulis com,fashionpulis.com
"565,243",fasteignir visir is,fasteignir.visir.is
243,faz net,faz.net
"299,243",fbref com,fbref.com
"31,350,23",fc member johnnys net jp,fc-member.johnnys-net.jp
"325,299,243",fc yalla shoot io,fc.yalla-shoot.io
"299,325,243",fcbarca com,fcbarca.com
"299,325,243",fcbarcelona es,fcbarcelona.es
"299,325,243",fcbayern com,fcbayern.com
"299,325,243",fcbinside de,fcbinside.de
"299,325,243",fcf cat,fcf.cat
"299,325,243",fcinter1908 it,fcinter1908.it
"299,325,243",fcinternews it,fcinternews.it
"299,325,243",fctables com,fctables.com
"299,325,243",fcupdate nl,fcupdate.nl
"561,243",fd nl,fd.nl
"299,325,243",federacioncantabradefutbol com,federacioncantabradefutbol.com
"239,561",federalreserve gov,federalreserve.gov
"254,400,1",femina fr,femina.fr
"172,86,254,350",feminity zoznam sk,feminity.zoznam.sk
243,fenix magazin de,fenix-magazin.de
"299,325,243",fennecfootball com,fennecfootball.com
"299,325,243",ffcm es,ffcm.es
"299,243",ffhandball fr,ffhandball.fr
"299,325,243",ffib es,ffib.es
"299,325,243",ffrm es,ffrm.es
"350,243",ffwebmagazine it,ffwebmagazine.it
"299,304,243",fiba basketball,fiba.basketball
"299,243",fibalivestats dcd shared geniussports com,fibalivestats.dcd.shared.geniussports.com
"299,325,243",fichajes com,fichajes.com
"299,325,243",fichajes net,fichajes.net
"299,325,243",fifa com,fifa.com
"299,609,243",fighttime ru,fighttime.ru
"299,325,243",filgoal com,filgoal.com
"12,363,350",film interia pl,film.interia.pl
"12,350",filmibeat com,filmibeat.com
"12,350,1",filmytoday com,filmytoday.com
561,finance daum net,finance.daum.net
561,finance detik com,finance.detik.com
"164,561",finance naver com,finance.naver.com
243,finance rambler ru,finance.rambler.ru
"215,561,1",finance yahoo co jp,finance.yahoo.co.jp
"215,561,1",finance yahoo com,finance.yahoo.com
"164,561,243",financialexpress com,financialexpress.com
561,finans7 com,finans7.com
561,finansavisen no,finansavisen.no
561,finanse wp pl,finanse.wp.pl
561,finanzaonline com,finanzaonline.com
"103,164,561",finanzen net,finanzen.net
"164,561",finanznachrichten de,finanznachrichten.de
"561,164",finviz com,finviz.com
243,firstpost com,firstpost.com
"239,561",fiscoetasse com,fiscoetasse.com
"97,243",fitness wp pl,fitness.wp.pl
"299,243",fivethirtyeight com,fivethirtyeight.com
243,flagman bg,flagman.bg
350,flash pt,flash.pt
"299,243",flashscore at,flashscore.at
"299,243",flashscore bg,flashscore.bg
"299,243",flashscore cl,flashscore.cl
"299,243",flashscore co,flashscore.co
"299,243",flashscore co id,flashscore.co.id
"299,243",flashscore co ke,flashscore.co.ke
"299,243",flashscore co kr,flashscore.co.kr
"299,243",flashscore co uk,flashscore.co.uk
"299,243",flashscore co za,flashscore.co.za
"299,243",flashscore com,flashscore.com
"299,243",flashscore com ar,flashscore.com.ar
"299,243",flashscore com au,flashscore.com.au
"299,243",flashscore com br,flashscore.com.br
"299,243",flashscore com mx,flashscore.com.mx
"299,243",flashscore com ng,flashscore.com.ng
"299,243",flashscore com tr,flashscore.com.tr
"299,243",flashscore com ua,flashscore.com.ua
"299,243",flashscore com ve,flashscore.com.ve
"299,243",flashscore de,flashscore.de
"299,243",flashscore dk,flashscore.dk
"299,243",flashscore es,flashscore.es
"299,243",flashscore fi,flashscore.fi
"299,243",flashscore fr,flashscore.fr
"299,243",flashscore ge,flashscore.ge
"299,243",flashscore gr,flashscore.gr
"299,243",flashscore in,flashscore.in
"299,243",flashscore info,flashscore.info
"299,243",flashscore it,flashscore.it
"299,243",flashscore mobi,flashscore.mobi
"299,243",flashscore nl,flashscore.nl
"299,243",flashscore pe,flashscore.pe
"299,243",flashscore pl,flashscore.pl
"299,243",flashscore pt,flashscore.pt
"299,243",flashscore ro,flashscore.ro
"299,243",flashscore ru,flashscore.ru
"299,243",flashscore se,flashscore.se
"299,243",flashscore sk,flashscore.sk
"299,243",flashscore ua,flashscore.ua
"299,243",flashscore vn,flashscore.vn
"299,243",flashscorekz com,flashscorekz.com
"299,243",flayus com,flayus.com
"239,243",floridadisaster org,floridadisaster.org
243,floridatoday com,floridatoday.com
"629,572,196,243",flytap com,flytap.com
"365,12,350",fmovies ooo,fmovies.ooo
"1,243",fnn jp,fnn.jp
243,fnp de,fnp.de
243,focus de,focus.de
400,focus it,focus.it
400,focus pl,focus.pl
243,focus ua,focus.ua
245,foggiatoday it,foggiatoday.it
"245,243",folhabv com br,folhabv.com.br
"245,243",folhamax com,folhamax.com
"245,103,243",folhape com br,folhape.com.br
243,folhavitoria com br,folhavitoria.com.br
"299,325,243",followfollow com,followfollow.com
"299,243",fon bet,fon.bet
"299,325,243",fonbet ru,fonbet.ru
245,fontanka ru,fontanka.ru
"561,164",fool co uk,fool.co.uk
"164,561",fool com,fool.com
"164,561",fool com au,fool.com.au
"299,325,243",foot direct com,foot-direct.com
"299,325,243",foot national com,foot-national.com
"299,325,243",foot sur7 fr,foot-sur7.fr
"299,325,243",foot01 com,foot01.com
"299,325,243",footba11 co,footba11.co
"299,325,243",football hkjc com,football.hkjc.com
"299,325,243",football kapook com,football.kapook.com
"299,325,243",football kulichki net,football.kulichki.net
"299,325,243",football london,football.london
"325,299,243",football on cc,football.on.cc
"299,325,243",football org il,football.org.il
"299,325,243",football tribe com,football-tribe.com
"299,325,243",football ua,football.ua
"299,325,243",football zone net,football-zone.net
"299,325,243",football24 ua,football24.ua
"299,325,243",football365 com,football365.com
"299,325,243",football365 fr,football365.fr
"299,325,243",footballchannel jp,footballchannel.jp
"299,325,243",footballi net,footballi.net
"325,299,243",footballitarin com,footballitarin.com
"299,325,243",footballpredictions com,footballpredictions.com
"299,325,243",footballpredictions net,footballpredictions.net
"299,325,243",footballwhispers com,footballwhispers.com
"299,325,243",footmercato net,footmercato.net
"299,325,243",footnews be,footnews.be
"616,299,243",footyheadlines com,footyheadlines.com
"299,325,243",footylogic com,footylogic.com
"299,325,243",footystats org,footystats.org
"561,400",forbes com,forbes.com
"561,400",forbes com mx,forbes.com.mx
"400,561",forbes cz,forbes.cz
"561,400",forbes hu,forbes.hu
"400,561",forbes pl,forbes.pl
"561,400",forbes ru,forbes.ru
"561,400",forbesjapan com,forbesjapan.com
243,foreca com,foreca.com
243,foreca es,foreca.es
243,foreca fi,foreca.fi
243,foreca ru,foreca.ru
243,forecast weather gov,forecast.weather.gov
"164,561",forex pk,forex.pk
"299,610,243",formel1 de,formel1.de
243,formiche net,formiche.net
"299,610,243",formula1 data com,formula1-data.com
"610,299,243",formula1news co uk,formula1news.co.uk
"299,243",formula55 tj,formula55.tj
"299,610,243",formulapassion it,formulapassion.it
"561,243",forsal pl,forsal.pl
561,fortune com,fortune.com
"250,126,243",forum donanimhaber com,forum.donanimhaber.com
"126,250,243",forum ixbt com,forum.ixbt.com
"247,250",forum pravda com ua,forum.pravda.com.ua
"299,243",forum sportsport ba,forum.sportsport.ba
"250,254,400",forum viva nl,forum.viva.nl
243,forum24 cz,forum24.cz
"126,140,243",forums commentcamarche net,forums.commentcamarche.net
"250,126,243",forums overclockers co uk,forums.overclockers.co.uk
"299,250,243",forums realgm com,forums.realgm.com
"126,250,243",forums whirlpool net au,forums.whirlpool.net.au
"299,325,243",forzaroma info,forzaroma.info
"299,243",fosonline gr,fosonline.gr
"299,325,243",fotball no,fotball.no
"299,325,243",fotbolti net,fotbolti.net
"299,243,325",fotmob com,fotmob.com
"12,350,363",fotogramas es,fotogramas.es
"299,243",fotomac com tr,fotomac.com.tr
"299,243",fotospor com,fotospor.com
"325,299,243",fourfourtwo com,fourfourtwo.com
"245,243",fox13news com,fox13news.com
"363,245,243",fox35orlando com,fox35orlando.com
"363,243",fox8 com,fox8.com
561,foxbusiness com,foxbusiness.com
"363,243",foxnews com,foxnews.com
"299,243",foxsports com,foxsports.com
"299,243",foxsports com au,foxsports.com.au
243,foxweather com,foxweather.com
"299,325,243",fpf pt,fpf.pt
"299,325,243",fr besoccer com,fr.besoccer.com
"103,250,400",fr calameo com,fr.calameo.com
243,fr de,fr.de
"164,561",fr investing com,fr.investing.com
"299,610,243",fr motorsport com,fr.motorsport.com
"215,243,1",fr news yahoo com,fr.news.yahoo.com
"299,243",fr sports yahoo com,fr.sports.yahoo.com
"561,253,164",fr tradingview com,fr.tradingview.com
243,fr windfinder com,fr.windfinder.com
"325,243",fr12 nl,fr12.nl
243,france24 com,france24.com
"245,363",france3 regions francetvinfo fr,france3-regions.francetvinfo.fr
245,francelive fr,francelive.fr
243,francetvinfo fr,francetvinfo.fr
"126,243",frandroid com,frandroid.com
"299,325,243",free thscore vip,free.thscore.vip
"126,104,243",freefast in,freefast.in
243,freegossip gr,freegossip.gr
"299,243",freelive 7mvn com,freelive.7mvn.com
243,freemalaysiatoday com,freemalaysiatoday.com
243,freemeteo com hr,freemeteo.com.hr
243,freemeteo gr,freemeteo.gr
"245,243",freep com,freep.com
243,freepressjournal in,freepressjournal.in
"250,243",freerepublic com,freerepublic.com
"299,325,243",freesupertips com,freesupertips.com
350,fresh suara com,fresh.suara.com
243,frettabladid is,frettabladid.is
"254,400",freundin de,freundin.de
"299,325,243",frf ajf ro,frf-ajf.ro
243,friatider se,friatider.se
243,friday kodansha co jp,friday.kodansha.co.jp
245,friulioggi it,friulioggi.it
243,frognews bg,frognews.bg
247,fronda pl,fronda.pl
"254,243,1",frontpage pch com,frontpage.pch.com
"250,243,400",frontpages gr,frontpages.gr
"12,350,243",fsicareer com,fsicareer.com
"561,243",ft com,ft.com
243,ftvnews com tw,ftvnews.com.tw
"299,243",ftw usatoday com,ftw.usatoday.com
"400,1",fujinkoron jp,fujinkoron.jp
"397,400",fujisan co jp,fujisan.co.jp
"363,350",fujitv view jp,fujitv-view.jp
"249,245,243",fukuishimbun co jp,fukuishimbun.co.jp
"303,299,243",full count jp,full-count.jp
"363,299,243",fullmaxtv com,fullmaxtv.com
"299,325,243",fulltime thefa com,fulltime.thefa.com
"325,299,243",fumsmagazin de,fumsmagazin.de
243,funigma ir,funigma.ir
"299,325,243",fupa net,fupa.net
"607,400",furoku info,furoku.info
"325,299,243",fussball de,fussball.de
"299,243,325",fussballfieber de,fussballfieber.de
"299,325,243",fussballtransfers com,fussballtransfers.com
"299,325,243",futbol cat,futbol.cat
"299,325,363,1,243",futbol com uy,futbol.com.uy
"299,23,243",futbol radioformula com mx,futbol.radioformula.com.mx
"299,325,243",futbol24 com,futbol24.com
"299,325,243",futbolcanli24 com,futbolcanli24.com
"299,325,243",futbolme com,futbolme.com
"299,325,363,1,243",futbolparatodos online,futbolparatodos.online
"299,325,243",futbolperuano com,futbolperuano.com
"365,299,325,243",futebolgratis net,futebolgratis.net
"299,325,243",futebolistasonline club,futebolistasonline.club
"365,299,243",futemax gratis,futemax.gratis
"126,243",futura sciences com,futura-sciences.com
561,futurestock in,futurestock.in
"215,126,243",futurezone de,futurezone.de
243,fvn no,fvn.no
"164,561",fx minkabu jp,fx.minkabu.jp
561,fxmag pl,fxmag.pl
243,fxp co il,fxp.co.il
561,fxstreet com,fxstreet.com
"245,243",fyens dk,fyens.dk
243,g1 globo com,g1.globo.com
243,g21news com,g21news.com
243,g4media ro,g4media.ro
"245,243",ga de,ga.de
"607,83,243",gaadiwaadi com,gaadiwaadi.com
"607,528,126,420,243",gadgetbytenepal com,gadgetbytenepal.com
"607,83,126,430,243",gadgetnews net,gadgetnews.net
"561,607,126,243",gadgets ndtv com,gadgets.ndtv.com
"528,126,243",gadgets usanewstoday club,gadgets.usanewstoday.club
"126,243",gadgetsupdateshindi com,gadgetsupdateshindi.com
"103,129,126,243",gadzetomania pl,gadzetomania.pl
"400,201,299",gaet it,gaet.it
"126,243",gagadget com,gagadget.com
"363,1,243",gagana lk,gagana.lk
"356,350",gahar ir,gahar.ir
"12,350,1",gallery 123telugu com,gallery.123telugu.com
"245,243",galwaybeo ie,galwaybeo.ie
"400,183",gamepro de,gamepro.de
"239,561",garant ru,garant.ru
243,gashtaninews com,gashtaninews.com
243,gasteizhoy com,gasteizhoy.com
243,gate ahram org eg,gate.ahram.org.eg
243,gauchazh clicrbs com br,gauchazh.clicrbs.com.br
"299,325,243",gaveanews com,gaveanews.com
"299,325,243",gavros gr,gavros.gr
243,gazeta n1 ru,gazeta-n1.ru
"215,243,1",gazeta pl,gazeta.pl
243,gazeta ru,gazeta.ru
243,gazeta shqip com,gazeta-shqip.com
"1,243",gazeta ua,gazeta.ua
243,gazeta uz,gazeta.uz
243,gazetadopovo com br,gazetadopovo.com.br
"299,243",gazetaesportiva com,gazetaesportiva.com
243,gazetaexpress com,gazetaexpress.com
"245,243",gazetakrakowska pl,gazetakrakowska.pl
"245,243",gazetalubuska pl,gazetalubuska.pl
"363,1,243",gazetatema net,gazetatema.net
"352,12,23,243",gazetaweb com,gazetaweb.com
"245,243",gazetawroclawska pl,gazetawroclawska.pl
243,gazeteduvar com tr,gazeteduvar.com.tr
"250,243",gazeteler com,gazeteler.com
243,gazeteoku com,gazeteoku.com
243,gazetevatan com,gazetevatan.com
"1,243",gazettelive co uk,gazettelive.co.uk
"607,528,126,243",gazyekichi96 com,gazyekichi96.com
"299,243",gazzetta gr,gazzetta.gr
"299,243",gazzetta it,gazzetta.it
245,gazzettadelsud it,gazzettadelsud.it
243,gazzettadimantova gelocal it,gazzettadimantova.gelocal.it
"245,243",gazzettadiparma it,gazzettadiparma.it
"243,1",gcmais com br,gcmais.com.br
243,gd no,gd.no
243,gd se,gd.se
245,gds it,gds.it
245,gds ro,gds.ro
"299,243",ge globo com,ge.globo.com
"12,363,126,183,243",geekmi news,geekmi.news
"126,243",geekweek interia pl,geekweek.interia.pl
"243,1",geenstijl nl,geenstijl.nl
"299,243",gekisaka jp,web.gekisaka.jp
243,gelderlander nl,gelderlander.nl
"164,561",gem xyz,gem.xyz
"164,561",gemforex com,gemforex.com
243,gemilangdaily com,gemilangdaily.com
"126,140,129,243",genbeta com,genbeta.com
243,gendai ismedia jp,gendai.ismedia.jp
"247,561,243",gendai media,gendai.media
"420,126,140,243",generation nt com,generation-nt.com
"126,250,243",genk vn,genk.vn
"561,164",gentosha go com,gentosha-go.com
"164,561,152",genyotech com,genyotech.com
"400,1",geo de,geo.de
"1,400",geo fr,geo.fr
249,geo tv,geo.tv
"299,243",geosuper tv,geosuper.tv
243,gercekgundem com,gercekgundem.com
"603,126,129,183,243",germanos gr,germanos.gr
"299,243",gesthand net,gesthand.net
561,gestion pe,gestion.pe
561,gestiopolis com,gestiopolis.com
243,getnews jp,getnews.jp
247,gettr com,gettr.com
"299,243",ggbethome net,ggbethome.net
"245,243",ggilbo com,ggilbo.com
243,ghanaweb com,ghanaweb.com
243,ghatreh com,ghatreh.com
"561,172,164",giacaphe com,giacaphe.com
"299,325,243",giallorossi net,giallorossi.net
"350,126,1,243",giantfreakinrobot com,giantfreakinrobot.com
"303,299,243",giants jp,giants.jp
"245,243",gifu np co jp,gifu-np.co.jp
"126,183,243",giga de,giga.de
"304,400",gigantes com,gigantes.com
"245,243",giornaledibrescia it,giornaledibrescia.it
243,giornalone it,giornalone.it
243,gismeteo by,gismeteo.by
243,gismeteo com,gismeteo.com
243,gismeteo kz,gismeteo.kz
243,gismeteo lt,gismeteo.lt
243,gismeteo lv,gismeteo.lv
243,gismeteo md,gismeteo.md
243,gismeteo ru,gismeteo.ru
243,gismeteo ua,gismeteo.ua
"299,243",givemesport com,givemesport.com
"528,420,126,430,243",gizchina com,gizchina.com
"582,528,420,126,430,243",gizmochina com,gizmochina.com
"126,243",gizmodo com,gizmodo.com
"126,243",gizmodo jp,gizmodo.jp
"607,210,129,126,243",giznext com,giznext.com
243,gk24 pl,gk24.pl
"227,243",gktoday in,gktoday.in
"299,325,243",gladbachlive de,gladbachlive.de
350,glamorama latercera com,glamorama.latercera.com
"86,254,1,400",glamour com,glamour.com
"86,254,400,350",glamour es,glamour.es
"243,350",glamour globo com,glamour.globo.com
"86,254,400,1",glamour hu,glamour.hu
"86,254,400,1",glamour mx,glamour.mx
"86,254,400,1",glamour pl,glamour.pl
245,glasgowlive co uk,glasgowlive.co.uk
243,glasistre hr,glasistre.hr
243,glav su,glav.su
243,glavcom ua,glavcom.ua
243,glavred info,glavred.info
243,glavred net,glavred.net
245,gld nl,gld.nl
"31,350,23",global idolplus com,global.idolplus.com
"561,238,245",globalmsk ru,globalmsk.ru
243,globalnews ca,globalnews.ca
"164,561",globes co il,globes.co.il
243,globo com,globo.com
"299,243",globoesporte globo com,globoesporte.globo.com
243,glogow naszemiasto pl,glogow.naszemiasto.pl
"254,400",gloria hr,gloria.hr
"245,243",gloswielkopolski pl,gloswielkopolski.pl
245,gloucestershirelive co uk,gloucestershirelive.co.uk
"363,243",gmanetwork com,gmanetwork.com
"215,249,183,1",gmx at,gmx.at
"249,215,1,183",gmx ch,gmx.ch
"249,215,1,183",gmx fr,gmx.fr
"607,126,243",go4it ro,go4it.ro
"299,325,243",goal co,goal.co
"299,325,243",goal com,goal.com
"299,325,243",goal kooralive info,goal.kooralive.info
"299,325,243",goaloo site,goaloo.site
"299,243",goaloo2 com,goaloo2.com
243,gob cl,gob.cl
"542,299,243",gobound com,gobound.com
561,godmode trader de,godmode-trader.de
"245,350",goftani net,goftani.net
243,gogo mn,gogo.mn
"299,325,243",gol bg,gol.bg
"299,325,243",gol caracoltv com,gol.caracoltv.com
"299,325,243",gol dnevnik hr,gol.dnevnik.hr
"325,299,243",gol24 pl,gol24.pl
"325,299,243",golbet365 info,golbet365.info
"299,243",goldbet365 tn,goldbet365.tn
"561,164",goldprice org,goldprice.org
"561,164",goldtraders or th,goldtraders.or.th
"126,23,243",golem de,golem.de
"315,299,243",golf sports smt docomo ne jp,golf.sports.smt.docomo.ne.jp
"315,299,243",golfbox dk,golfbox.dk
"299,315,243",golfdigest com,golfdigest.com
"299,315,243",golfmagic com,golfmagic.com
"315,243",golfweather info,golfweather.info
"299,325,243",golkoochik com,golkoochik.com
245,golubdobrzyn naszemiasto pl,golubdobrzyn.naszemiasto.pl
"299,243",gong bg,gong.bg
"48,363,243",goodcarsinfo com,goodcarsinfo.com
"561,164",goodinfo tw,goodinfo.tw
561,goodreturns in,goodreturns.in
350,goodshow es,goodshow.es
"207,173,126,243",goodspress jp,goodspress.jp
243,googleweblight com,googleweblight.com
"299,325,243",gool co,gool.co
"299,243",gooool tv,gooool.tv
"299,364,243",gooool365 org,gooool365.org
"299,243",goooool org,goooool.org
243,gorajuara com,gorajuara.com
"363,243,1",gordonua com,gordonua.com
245,gorod lv,gorod.lv
"245,350",gorodovoy ru,gorodovoy.ru
243,gorontalo pikiran rakyat com,gorontalo.pikiran-rakyat.com
243,gossip hirufm lk,gossip.hirufm.lk
"350,243",gossip it,gossip.it
"363,243",gossipetv com,gossipetv.com
243,gossiplankanews com,gossiplankanews.com
243,goud ma,goud.ma
243,gp se,gp.se
"247,245,243",gp1 com br,gp1.com.br
"245,243",gp24 pl,gp24.pl
"610,299,243",gp33 nl,gp33.nl
"299,610,243",gpblog com,gpblog.com
"610,299,243",gpfans com,gpfans.com
"96,400,1",gq com,gq.com
"254,400",gq com mx,gq.com.mx
"96,254,400",gqjapan jp,gqjapan.jp
"254,400",gqmagazine fr,gqmagazine.fr
"207,86,239,363,350",gr hellomagazine com,gr.hellomagazine.com
"164,561",gr investing com,gr.investing.com
"1,350",grammy com,grammy.com
245,granadahoy com,granadahoy.com
"299,610,243",grandepremio com br,grandepremio.com.br
"245,96,173,400,350",grazia fr,grazia.fr
243,greatandhra com,greatandhra.com
"70,126,243",greatbiker com,greatbiker.com
"245,243",greaterkashmir com,greaterkashmir.com
249,greekreporter com,greekreporter.com
350,grid id,grid.id
243,grimsbytelegraph co uk,grimsbytelegraph.co.uk
"164,561",groww in,groww.in
"245,215,1",grudziadz naszemiasto pl,grudziadz.naszemiasto.pl
245,gs24 pl,gs24.pl
"350,23",gsfanatic com,gsfanatic.com
"607,126,243",gsmarena com,gsmarena.com
"528,607,126,243",gsminfo com ua,gsminfo.com.ua
"126,243",gsmmaniak pl,gsmmaniak.pl
"299,243",gsp ro,gsp.ro
243,gt transdoc com,gt.transdoc.com
243,guardian ng,guardian.ng
"1,243",gubdaily ru,gubdaily.ru
"153,243",guiadeltramite info,guiadeltramite.info
"239,149,243",guiamaisbr com,guiamaisbr.com
243,guianoticiario net,guianoticiario.net
